Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""TC005/button_Approve""))",Chrome 107.0.0.0,,,2022-11-15 16:41:09,2022-11-15 16:41:09,0.768s,PASSED
"verifyElementVisible(findTestObject(""TC005/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-15 16:41:09,2022-11-15 16:41:11,1.566s,PASSED
,,,,,,,
Test Cases/TC006 - Supplier Outbound Details (Supplier),Chrome 107.0.0.0,,,2022-11-15 16:41:11,2022-11-15 16:42:28,1m - 16.835s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameAzwan, ""password"":passwordAzwan, ""verification"":verificationAzwan, ""company"":sgbafco], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:41:12,2022-11-15 16:41:29,17.529s,PASSED
"click(findTestObject(""TC006/Page_Brivge/h6_Logistics""))",Chrome 107.0.0.0,,,2022-11-15 16:41:29,2022-11-15 16:41:30,0.894s,PASSED
"click(findTestObject(""TC006/Page_Brivge/li_Outbound Monitoring List""))",Chrome 107.0.0.0,,,2022-11-15 16:41:30,2022-11-15 16:41:33,2.510s,PASSED
"click(findTestObject(""TC006/Page_Brivge/button create""))",Chrome 107.0.0.0,,,2022-11-15 16:41:33,2022-11-15 16:41:35,2.273s,PASSED
"callTestCase(findTestCase(""common/Long Form/6_1 - input basic info""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:41:35,2022-11-15 16:41:58,22.722s,PASSED
"callTestCase(findTestCase(""common/Long Form/6_2 - input container info""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:41:58,2022-11-15 16:42:05,7.553s,PASSED
"callTestCase(findTestCase(""common/Long Form/6_3 - input outer package""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:42:05,2022-11-15 16:42:13,7.425s,PASSED
"callTestCase(findTestCase(""common/Long Form/6_4 - input add parts""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:42:13,2022-11-15 16:42:21,8.570s,PASSED
"click(findTestObject(""TC006/TC006_4/click before scroll up""))",Chrome 107.0.0.0,,,2022-11-15 16:42:21,2022-11-15 16:42:22,0.582s,PASSED
"sendKeys(findTestObject(null), Keys.chord(HOME))",Chrome 107.0.0.0,,,2022-11-15 16:42:22,2022-11-15 16:42:22,0.533s,PASSED
"click(findTestObject(""TC006/TC006_4/button_Submit""))",Chrome 107.0.0.0,,,2022-11-15 16:42:22,2022-11-15 16:42:23,0.898s,PASSED
"click(findTestObject(""TC006/Page_Brivge/button_CONFIRM""))",Chrome 107.0.0.0,,,2022-11-15 16:42:23,2022-11-15 16:42:24,1.058s,PASSED
"verifyElementVisible(findTestObject(""TC006/Page_Brivge/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-15 16:42:24,2022-11-15 16:42:28,3.641s,PASSED
,,,,,,,
Test Cases/TC007 - Supplier Approve Release Seller GI Invoice (Supplier),Chrome 107.0.0.0,,,2022-11-15 16:42:28,2022-11-15 16:43:08,39.848s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameAzwan, ""password"":passwordAzwan, ""verification"":verificationAzwan, ""company"":sgbafco], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:42:28,2022-11-15 16:42:46,17.281s,PASSED
"click(findTestObject(""TC007/Page_Brivge/h6_Accounting""))",Chrome 107.0.0.0,,,2022-11-15 16:42:46,2022-11-15 16:42:47,0.813s,PASSED
"click(findTestObject(""TC007/Page_Brivge/li_Seller(GI) Invoice List""))",Chrome 107.0.0.0,,,2022-11-15 16:42:47,2022-11-15 16:42:49,2.771s,PASSED
"setText(findTestObject(""TC007/Page_Brivge/input_contract no list""), supplContractNo)",Chrome 107.0.0.0,"supplier contract no
",,2022-11-15 16:42:49,2022-11-15 16:42:54,4.606s,PASSED
"click(findTestObject(""TC007/Page_Brivge/button filter""))",Chrome 107.0.0.0,,,2022-11-15 16:42:54,2022-11-15 16:42:55,0.707s,PASSED
"click(findTestObject(""TC007/Page_Brivge/input__statusList""))",Chrome 107.0.0.0,,,2022-11-15 16:42:55,2022-11-15 16:42:56,1.091s,PASSED
"click(findTestObject(""TC007/Page_Brivge/li_New""))",Chrome 107.0.0.0,,,2022-11-15 16:42:56,2022-11-15 16:42:56,0.623s,PASSED
"click(findTestObject(""TC007/Page_Brivge/button_Search""))",Chrome 107.0.0.0,,,2022-11-15 16:42:56,2022-11-15 16:42:57,0.527s,PASSED
"y = getText(findTestObject(""TC007/Page_Brivge/div_invoice No""))",Chrome 107.0.0.0,,,2022-11-15 16:42:57,2022-11-15 16:42:58,0.669s,PASSED
"util.copyToExcel.exel(y, 1, 6)",Chrome 107.0.0.0,Save invoice no to desktop toyotsudata.xlsx,,2022-11-15 16:42:58,2022-11-15 16:42:58,0.075s,PASSED
"click(findTestObject(""TC007/Page_Brivge/button approve""))",Chrome 107.0.0.0,,,2022-11-15 16:42:58,2022-11-15 16:42:58,0.502s,PASSED
"click(findTestObject(""TC007/Page_Brivge/button_CONFIRM""))",Chrome 107.0.0.0,Clicking confirm to approve GI Invoice,,2022-11-15 16:42:58,2022-11-15 16:42:59,1.080s,PASSED
"verifyElementVisible(findTestObject(""TC007/Page_Brivge/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-15 16:42:59,2022-11-15 16:43:00,0.827s,PASSED
"click(findTestObject(""TC007/Page_Brivge/button filter""))",Chrome 107.0.0.0,,,2022-11-15 16:43:00,2022-11-15 16:43:01,0.520s,PASSED
"click(findTestObject(""TC007/Page_Brivge/button_clear""))",Chrome 107.0.0.0,,,2022-11-15 16:43:01,2022-11-15 16:43:02,0.969s,PASSED
"click(findTestObject(""TC007/Page_Brivge/button_Search""))",Chrome 107.0.0.0,,,2022-11-15 16:43:02,2022-11-15 16:43:02,0.526s,PASSED
"verifyElementText(findTestObject(""TC007/Page_Brivge/div_Approved""), ""Approved"")",Chrome 107.0.0.0,,,2022-11-15 16:43:02,2022-11-15 16:43:03,0.722s,PASSED
"click(findTestObject(""TC007/Page_Brivge/button release""))",Chrome 107.0.0.0,,,2022-11-15 16:43:03,2022-11-15 16:43:03,0.626s,PASSED
